"고객번호","연령","직업","근무기간","결혼상태","부양가족수","외국인여부","주거상태","거주년수","휴대폰개인명의여부","자산","수표계좌","저축계좌","대출이력","대출목적","대출금액","당행대출건수","기타할부상환계획","거래개월수","공동대출보증인","가처분소득중할부상환금비율","신용상태"
"A0011",25,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","임대",1,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","신차구입",1600000,1,"없음",12,"없음",3,"불량"
"A0012",24,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","임대",4,0,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","사업자금",5400000,1,"없음",48,"없음",3,"불량"
"A0013",22,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",1,1,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",2000000,1,"없음",12,"없음",1,"우량"
"A0014",60,"비숙련거주자","7년이상","싱글남",1,"예","자가",4,0,"자동차/기타","마이너스","100만원이하","부채없음","신차구입",1500000,2,"없음",24,"없음",4,"불량"
"A0015",28,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","임대",4,0,"자동차/기타","마이너스","100만원이하","현재부채상환지연","신차구입",1800000,1,"없음",15,"없음",2,"우량"
"A0016",32,"비숙련거주자","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","마이너스","100~500만원","현재부채상환지연","오디오/TV구입",1600000,1,"없음",24,"없음",4,"불량"
"A0017",53,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"사회보장/생명보험","계좌없음","저축계좌없음","부채없음","오디오/TV구입",3000000,2,"없음",24,"없음",4,"우량"
"A0018",25,"전문직/사무직","1년미만","싱글남",1,"예","자가",3,0,"자동차/기타","마이너스","저축계좌없음","타은행부채과다","사업자금",10100000,3,"은행",30,"없음",2,"우량"
"A0019",44,"관리직/자영업/숙련직/공무원","7년이상","이혼/별거/기혼녀",1,"예","영구임대",2,1,"모름/없음","50만원이하","100만원이하","현재부채상환지연","중고차구입",15700000,1,"없음",24,"없음",4,"불량"
"A0020",31,"전문직/사무직","7년이상","싱글남",2,"예","자가",2,1,"자동차/기타","계좌없음","500~1000만원","현재부채상환지연","오디오/TV구입",4300000,1,"없음",24,"없음",3,"우량"
"A0021",48,"전문직/사무직","1년~4년","싱글남",1,"예","자가",4,1,"자동차/기타","계좌없음","100만원이하","부채없음","신차구입",2700000,3,"없음",9,"없음",4,"우량"
"A0022",44,"전문직/사무직","1년~4년","싱글남",2,"예","임대",3,0,"실자산","마이너스","500~1000만원","현재부채상환지연","오디오/TV구입",3300000,1,"없음",6,"없음",2,"우량"
"A0023",48,"비숙련거주자","1년미만","싱글남",2,"아니오","임대",3,0,"실자산","마이너스","100만원이하","부채없음","신차구입",2800000,2,"없음",10,"없음",1,"우량"
"A0024",44,"전문직/사무직","1년미만","싱글남",1,"예","자가",4,0,"사회보장/생명보험","50만원이하","100~500만원","부채없음","중고차구입",2300000,1,"없음",12,"없음",3,"우량"
"A0025",26,"전문직/사무직","1년~4년","사별/기혼남",1,"아니오","자가",1,0,"자동차/기타","계좌없음","저축계좌없음","부채없음","가구장비구입",2600000,2,"없음",10,"없음",2,"우량"
"A0026",36,"비숙련거주자","1년~4년","싱글남",1,"예","자가",2,1,"실자산","마이너스","100만원이하","현재부채상환지연","가구장비구입",1700000,1,"은행",6,"없음",1,"우량"
"A0027",39,"비숙련거주자","7년이상","사별/기혼남",1,"예","자가",4,0,"자동차/기타","계좌없음","100만원이하","타은행부채과다","오디오/TV구입",500000,1,"없음",6,"없음",4,"우량"
"A0028",42,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","임대",3,0,"실자산","50만원이상","1000만원이상","과거연체이력","오디오/TV구입",500000,2,"없음",12,"없음",3,"우량"
"A0029",34,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"실자산","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",3000000,1,"없음",7,"보증인있음",3,"우량"
"A0030",63,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,1,"모름/없음","마이너스","100만원이하","당은행부채상환완료","사업자금",8600000,2,"없음",60,"없음",3,"불량"
"A0031",36,"전문직/사무직","1년미만","사별/기혼남",1,"예","자가",3,1,"실자산","50만원이하","1000만원이상","현재부채상환지연","사업자금",2400000,1,"은행",18,"없음",3,"우량"
"A0032",27,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"자동차/기타","마이너스","100만원이하","현재부채상환지연","가구장비구입",5000000,1,"점포",24,"없음",2,"우량"
"A0033",30,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,1,"자동차/기타","50만원이하","100~500만원","현재부채상환지연","신차구입",7300000,2,"없음",18,"없음",2,"우량"
"A0034",57,"비숙련거주자","7년이상","싱글남",1,"예","임대",4,0,"모름/없음","계좌없음","저축계좌없음","부채없음","사업자금",1600000,1,"없음",12,"없음",4,"우량"
"A0035",33,"관리직/자영업/숙련직/공무원","1년미만","이혼/별거/기혼녀",1,"예","자가",1,1,"사회보장/생명보험","50만원이상","100만원이하","현재부채상환지연","가구장비구입",1800000,1,"은행",12,"없음",4,"우량"
"A0036",25,"비숙련거주자","1년미만","싱글남",1,"예","자가",2,0,"사회보장/생명보험","50만원이하","100만원이하","부채없음","오디오/TV구입",5900000,2,"없음",45,"없음",4,"불량"
"A0037",31,"전문직/사무직","1년~4년","싱글남",1,"예","영구임대",3,1,"모름/없음","계좌없음","100만원이하","부채없음","학자금",7600000,1,"은행",48,"없음",1,"우량"
"A0038",37,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"실자산","50만원이상","100만원이하","현재부채상환지연","오디오/TV구입",2600000,1,"점포",18,"공동대출자있음",4,"불량"
"A0039",37,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,1,"자동차/기타","50만원이상","100만원이하","현재부채상환지연","가전제품구입",1500000,1,"없음",10,"없음",2,"우량"
"A0040",24,"전문직/사무직","1년~4년","싱글남",1,"예","자가",3,0,"실자산","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",600000,1,"없음",9,"없음",4,"우량"
"A0041",30,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","자가",2,0,"자동차/기타","계좌없음","500~1000만원","현재부채상환지연","오디오/TV구입",2900000,1,"은행",30,"없음",4,"우량"
"A0042",26,"전문직/사무직","1년~4년","이혼/별거남",1,"예","자가",1,1,"자동차/기타","50만원이하","500~1000만원","현재부채상환지연","오디오/TV구입",1400000,1,"없음",12,"없음",3,"우량"
"A0043",44,"비숙련거주자","1년~4년","싱글남",2,"예","자가",4,1,"실자산","50만원이하","100만원이하","당은행부채상환완료","수리비용",7800000,1,"없음",18,"없음",2,"우량"
"A0044",24,"전문직/사무직","4년~7년","사별/기혼남",1,"예","임대",4,0,"자동차/기타","마이너스","100~500만원","부채없음","중고차구입",7700000,2,"없음",30,"없음",1,"우량"
"A0045",58,"비숙련거주자","7년이상","이혼/별거/기혼녀",1,"예","영구임대",4,0,"모름/없음","마이너스","100만원이하","부채없음","중고차구입",7700000,2,"점포",48,"없음",4,"불량"
"A0046",35,"관리직/자영업/숙련직/공무원","1년미만","이혼/별거/기혼녀",1,"예","자가",4,0,"자동차/기타","계좌없음","100만원이하","부채없음","신차구입",1700000,2,"없음",11,"없음",4,"우량"
"A0047",39,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"자동차/기타","계좌없음","500~1000만원","현재부채상환지연","오디오/TV구입",2900000,1,"없음",36,"없음",4,"우량"
"A0048",23,"무직/비숙련비거주자","미취업","이혼/별거/기혼녀",1,"예","임대",2,1,"사회보장/생명보험","마이너스","500~1000만원","현재부채상환지연","중고차구입",1700000,1,"없음",6,"없음",1,"우량"
"A0049",39,"비숙련거주자","1년~4년","싱글남",1,"예","자가",4,0,"사회보장/생명보험","계좌없음","100만원이하","부채없음","신차구입",9000000,2,"없음",11,"없음",1,"우량"
"A0050",28,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"실자산","계좌없음","100~500만원","현재부채상환지연","오디오/TV구입",2600000,1,"없음",12,"공동대출자있음",4,"우량"
"A0051",29,"비숙련거주자","1년미만","싱글남",1,"예","자가",2,0,"사회보장/생명보험","50만원이하","저축계좌없음","당은행부채상환완료","가구장비구입",2900000,1,"은행",24,"없음",4,"우량"
"A0052",30,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","자가",2,1,"자동차/기타","50만원이하","100만원이하","당은행부채상환완료","중고차구입",7500000,2,"없음",27,"없음",1,"우량"
"A0053",25,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",1600000,1,"없음",12,"없음",3,"우량"
"A0054",31,"전문직/사무직","1년~4년","싱글남",1,"예","자가",1,1,"사회보장/생명보험","계좌없음","저축계좌없음","현재부채상환지연","중고차구입",4200000,1,"없음",18,"없음",2,"우량"
"A0055",57,"전문직/사무직","7년이상","싱글남",1,"예","영구임대",4,1,"모름/없음","50만원이하","100만원이하","당은행부채상환완료","신차구입",2800000,2,"은행",36,"없음",4,"불량"
"A0056",26,"비숙련거주자","1년~4년","싱글남",2,"예","자가",2,0,"실자산","계좌없음","저축계좌없음","과거연체이력","신차구입",1000000,1,"점포",6,"보증인있음",1,"우량"
"A0057",52,"관리직/자영업/숙련직/공무원","미취업","싱글남",1,"예","자가",1,1,"모름/없음","50만원이하","저축계좌없음","현재부채상환지연","오디오/TV구입",8100000,1,"없음",12,"없음",2,"불량"
"A0058",31,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","부채없음","오디오/TV구입",12000000,2,"점포",36,"없음",2,"우량"
"A0059",23,"관리직/자영업/숙련직/공무원","7년이상","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","50만원이상","100만원이하","현재부채상환지연","신차구입",2500000,1,"없음",18,"없음",3,"우량"
"A0060",23,"비숙련거주자","1년미만","이혼/별거/기혼녀",1,"예","임대",4,1,"모름/없음","마이너스","100만원이하","부채없음","가구장비구입",7800000,2,"없음",36,"공동대출자있음",4,"불량"
"A0061",27,"전문직/사무직","1년~4년","사별/기혼남",1,"예","자가",1,1,"실자산","50만원이하","100만원이하","현재부채상환지연","사업자금",1700000,1,"은행",9,"없음",2,"우량"
"A0062",50,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,1,"실자산","50만원이하","저축계좌없음","부채없음","오디오/TV구입",1900000,2,"없음",15,"보증인있음",4,"우량"
"A0063",61,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","영구임대",4,1,"모름/없음","50만원이하","100만원이하","타은행부채과다","사업자금",2400000,1,"없음",36,"없음",4,"불량"
"A0064",25,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,1,"자동차/기타","50만원이하","100만원이하","타은행부채과다","사업자금",18100000,1,"없음",48,"없음",2,"불량"
"A0065",26,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",4,1,"사회보장/생명보험","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",4000000,1,"없음",24,"없음",4,"우량"
"A0066",48,"전문직/사무직","7년이상","싱글남",2,"예","자가",4,1,"사회보장/생명보험","계좌없음","저축계좌없음","현재부채상환지연","수리비용",6500000,4,"없음",27,"없음",4,"우량"
"A0067",29,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",2700000,1,"은행",12,"없음",2,"우량"
"A0068",22,"전문직/사무직","1년~4년","사별/기혼남",1,"예","자가",1,0,"실자산","50만원이하","1000만원이상","현재부채상환지연","신차구입",1300000,1,"없음",12,"없음",4,"우량"
"A0069",37,"전문직/사무직","1년~4년","싱글남",1,"예","영구임대",4,1,"모름/없음","계좌없음","100만원이하","현재부채상환지연","학자금",2300000,1,"점포",36,"없음",4,"불량"
"A0070",25,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",4,0,"자동차/기타","계좌없음","저축계좌없음","현재부채상환지연","오디오/TV구입",3000000,1,"없음",36,"없음",4,"우량"
"A0071",30,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"사회보장/생명보험","계좌없음","100만원이하","현재부채상환지연","중고차구입",10200000,1,"은행",36,"없음",1,"우량"
"A0072",46,"비숙련거주자","7년이상","싱글남",1,"예","임대",2,1,"사회보장/생명보험","계좌없음","저축계좌없음","부채없음","오디오/TV구입",900000,2,"없음",7,"없음",4,"우량"
"A0073",51,"관리직/자영업/숙련직/공무원","7년이상","싱글남",2,"예","영구임대",4,1,"모름/없음","마이너스","100만원이하","부채없음","기타",1500000,2,"은행",8,"없음",3,"우량"
"A0074",41,"비숙련거주자","4년~7년","이혼/별거/기혼녀",1,"예","자가",1,0,"실자산","50만원이하","100만원이하","부채없음","사업자금",7500000,2,"은행",42,"없음",2,"우량"
"A0075",40,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","자가",4,1,"모름/없음","마이너스","저축계좌없음","현재부채상환지연","학자금",2500000,1,"없음",36,"없음",4,"불량"
"A0076",66,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","영구임대",4,0,"모름/없음","마이너스","100만원이하","부채없음","중고차구입",1900000,2,"없음",12,"없음",4,"우량"
"A0077",34,"전문직/사무직","1년미만","싱글남",1,"예","자가",3,0,"자동차/기타","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",5000000,1,"없음",42,"없음",4,"불량"
"A0078",51,"전문직/사무직","4년~7년","싱글남",1,"예","자가",4,0,"사회보장/생명보험","50만원이하","100만원이하","당은행부채상환완료","오디오/TV구입",6000000,1,"없음",11,"없음",2,"우량"
"A0079",39,"비숙련거주자","1년~4년","싱글남",2,"예","자가",2,0,"사회보장/생명보험","계좌없음","저축계좌없음","타은행부채과다","중고차구입",11800000,1,"없음",54,"없음",2,"우량"
"A0080",22,"전문직/사무직","1년미만","사별/기혼남",1,"예","자가",1,0,"사회보장/생명보험","50만원이하","100만원이하","현재부채상환지연","가구장비구입",4800000,1,"없음",30,"없음",2,"우량"
"A0081",44,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",1,1,"자동차/기타","계좌없음","저축계좌없음","현재부채상환지연","오디오/TV구입",7400000,2,"없음",24,"없음",1,"불량"
"A0082",47,"전문직/사무직","7년이상","싱글남",1,"예","자가",3,1,"사회보장/생명보험","계좌없음","500~1000만원","현재부채상환지연","오디오/TV구입",1500000,1,"점포",15,"없음",4,"우량"
"A0083",24,"비숙련거주자","1년~4년","이혼/별거/기혼녀",1,"예","임대",4,0,"사회보장/생명보험","계좌없음","100~500만원","현재부채상환지연","사업자금",2000000,1,"없음",18,"없음",3,"우량"
"A0084",58,"비숙련거주자","7년이상","이혼/별거/기혼녀",1,"예","자가",4,1,"실자산","마이너스","100만원이하","현재부채상환지연","기타",2200000,1,"없음",24,"보증인있음",4,"우량"
"A0085",52,"비숙련거주자","7년이상","싱글남",1,"예","자가",4,0,"실자산","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",2900000,1,"없음",10,"없음",3,"우량"
"A0086",29,"관리직/자영업/숙련직/공무원","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,1,"실자산","계좌없음","100만원이하","부채없음","사업자금",1800000,2,"없음",12,"보증인있음",4,"우량"
"A0087",27,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",1,0,"사회보장/생명보험","50만원이하","100만원이하","부채없음","가구장비구입",1600000,2,"없음",18,"없음",4,"우량"
"A0088",47,"전문직/사무직","1년~4년","싱글남",2,"예","영구임대",4,1,"모름/없음","50만원이하","100~500만원","현재부채상환지연","학자금",15800000,1,"없음",36,"없음",1,"불량"
"A0089",30,"관리직/자영업/숙련직/공무원","4년~7년","싱글남",2,"예","자가",3,1,"자동차/기타","마이너스","100~500만원","현재부채상환지연","신차구입",2800000,1,"없음",18,"없음",4,"우량"
"A0090",28,"전문직/사무직","4년~7년","싱글남",1,"예","자가",3,0,"실자산","마이너스","100만원이하","타은행부채과다","수리비용",1400000,2,"없음",12,"없음",4,"불량"
"A0091",56,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"실자산","계좌없음","100만원이하","부채없음","오디오/TV구입",800000,1,"없음",12,"없음",4,"우량"
"A0092",54,"전문직/사무직","7년이상","싱글남",1,"예","자가",3,0,"실자산","마이너스","100만원이하","부채없음","중고차구입",1800000,1,"없음",12,"없음",4,"우량"
"A0093",33,"비숙련거주자","7년이상","이혼/별거/기혼녀",2,"예","자가",3,0,"사회보장/생명보험","계좌없음","저축계좌없음","부채없음","오디오/TV구입",1000000,1,"은행",12,"없음",4,"불량"
"A0094",20,"전문직/사무직","7년이상","싱글남",1,"예","임대",4,0,"모름/없음","50만원이상","저축계좌없음","부채없음","가구장비구입",4500000,2,"없음",24,"공동대출자있음",4,"우량"
"A0095",54,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,1,"실자산","50만원이하","1000만원이상","현재부채상환지연","신차구입",1700000,1,"없음",12,"없음",4,"우량"
"A0096",58,"전문직/사무직","1년미만","싱글남",1,"예","임대",4,1,"모름/없음","50만원이하","100만원이하","타은행부채과다","사업자금",20000000,1,"없음",54,"없음",3,"불량"
"A0097",61,"전문직/사무직","4년~7년","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","계좌없음","저축계좌없음","부채없음","학자금",2500000,1,"없음",12,"없음",4,"우량"
"A0098",34,"전문직/사무직","1년~4년","싱글남",1,"예","자가",4,0,"자동차/기타","50만원이하","100~500만원","현재부채상환지연","사업자금",3300000,1,"없음",18,"없음",4,"우량"
"A0099",36,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"실자산","50만원이하","100만원이하","부채없음","오디오/TV구입",2900000,1,"없음",36,"없음",4,"우량"
"A0100",36,"관리직/자영업/숙련직/공무원","4년~7년","싱글남",2,"예","임대",4,1,"사회보장/생명보험","50만원이하","저축계좌없음","당은행부채상환완료","중고차구입",8800000,2,"은행",20,"없음",3,"우량"
"A0101",41,"비숙련거주자","7년이상","사별/기혼남",1,"예","임대",4,0,"실자산","계좌없음","100~500만원","현재부채상환지연","신차구입",1800000,1,"없음",24,"없음",4,"우량"
"A0102",24,"전문직/사무직","4년~7년","싱글남",1,"예","임대",4,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",2900000,1,"없음",36,"없음",4,"우량"
"A0103",24,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"실자산","계좌없음","100만원이하","당은행부채상환완료","오디오/TV구입",1200000,1,"없음",6,"없음",3,"우량"
"A0104",35,"전문직/사무직","4년~7년","싱글남",1,"예","임대",3,1,"자동차/기타","50만원이하","100만원이하","부채없음","가구장비구입",2400000,1,"없음",9,"없음",4,"우량"
"A0105",26,"전문직/사무직","1년미만","사별/기혼남",1,"예","임대",4,1,"자동차/기타","계좌없음","저축계좌없음","현재부채상환지연","중고차구입",3100000,1,"없음",12,"없음",2,"우량"
"A0106",39,"관리직/자영업/숙련직/공무원","1년~4년","싱글남",2,"예","자가",3,1,"자동차/기타","50만원이하","100만원이하","부채없음","기타",14900000,2,"없음",24,"공동대출자있음",2,"불량"
"A0107",39,"관리직/자영업/숙련직/공무원","7년이상","싱글남",2,"예","자가",4,1,"모름/없음","계좌없음","100만원이하","과거연체이력","신차구입",8100000,2,"은행",18,"없음",2,"불량"
"A0108",32,"전문직/사무직","4년~7년","싱글남",1,"예","자가",2,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","신차구입",7600000,1,"없음",12,"없음",2,"우량"
"A0109",30,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"아니오","자가",2,1,"사회보장/생명보험","마이너스","저축계좌없음","현재부채상환지연","가구장비구입",9700000,1,"없음",24,"없음",1,"우량"
"A0110",35,"전문직/사무직","7년이상","사별/기혼남",1,"예","자가",2,1,"실자산","50만원이하","500~1000만원","현재부채상환지연","사업자금",1800000,1,"없음",14,"없음",1,"우량"
"A0111",31,"전문직/사무직","7년이상","이혼/별거남",2,"예","자가",2,0,"자동차/기타","50만원이하","100~500만원","당은행부채상환완료","사업자금",1800000,2,"은행",6,"없음",1,"우량"
"A0112",23,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","임대",4,1,"사회보장/생명보험","50만원이상","100만원이하","현재부채상환지연","학자금",500000,1,"없음",15,"없음",4,"우량"
"A0113",28,"비숙련거주자","4년~7년","싱글남",1,"예","임대",3,0,"실자산","50만원이하","100만원이하","현재부채상환지연","신차구입",7800000,1,"없음",18,"없음",3,"우량"
"A0114",25,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,1,"실자산","계좌없음","100만원이하","부채없음","신차구입",9800000,2,"점포",36,"없음",4,"불량"
"A0115",35,"전문직/사무직","7년이상","사별/기혼남",1,"예","자가",1,0,"실자산","마이너스","500~1000만원","현재부채상환지연","오디오/TV구입",2100000,1,"없음",12,"없음",3,"우량"
"A0116",47,"전문직/사무직","7년이상","싱글남",1,"예","자가",1,1,"실자산","계좌없음","저축계좌없음","부채없음","오디오/TV구입",4500000,1,"없음",48,"없음",4,"우량"
"A0117",30,"관리직/자영업/숙련직/공무원","4년~7년","이혼/별거/기혼녀",1,"예","자가",3,1,"자동차/기타","마이너스","저축계좌없음","현재부채상환지연","오디오/TV구입",9000000,1,"없음",42,"없음",4,"불량"
"A0118",27,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"아니오","임대",3,0,"실자산","마이너스","저축계좌없음","부채없음","가구장비구입",2700000,2,"없음",10,"공동대출자있음",2,"우량"
"A0119",23,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",4,0,"자동차/기타","마이너스","500~1000만원","부채없음","가구장비구입",5400000,2,"없음",33,"없음",1,"불량"
"A0120",36,"관리직/자영업/숙련직/공무원","4년~7년","이혼/별거남",1,"예","자가",3,1,"자동차/기타","50만원이하","500~1000만원","부채없음","신차구입",3000000,1,"없음",12,"없음",3,"우량"
"A0121",25,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,1,"실자산","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",2300000,2,"없음",21,"없음",3,"불량"
"A0122",41,"관리직/자영업/숙련직/공무원","7년이상","이혼/별거/기혼녀",1,"예","임대",2,1,"자동차/기타","계좌없음","100만원이하","부채없음","중고차구입",4800000,2,"없음",24,"없음",4,"우량"
"A0123",24,"비숙련거주자","1년~4년","싱글남",1,"예","임대",2,0,"실자산","계좌없음","100만원이하","현재부채상환지연","가구장비구입",2200000,1,"없음",12,"없음",3,"우량"
"A0124",63,"전문직/사무직","7년이상","싱글남",1,"예","영구임대",4,1,"모름/없음","50만원이상","100만원이하","부채없음","신차구입",1000000,2,"없음",10,"없음",4,"우량"
"A0125",27,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","임대",3,0,"실자산","50만원이하","저축계좌없음","현재부채상환지연","가구장비구입",2400000,1,"없음",18,"없음",4,"불량"
"A0126",30,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"사회보장/생명보험","마이너스","100만원이하","부채없음","신차구입",2700000,2,"없음",12,"없음",4,"우량"
"A0127",40,"비숙련거주자","1년~4년","사별/기혼남",1,"예","자가",2,0,"실자산","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",900000,1,"없음",12,"없음",4,"우량"
"A0128",30,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","수리비용",800000,1,"없음",12,"없음",4,"불량"
"A0129",34,"관리직/자영업/숙련직/공무원","미취업","싱글남",1,"예","자가",2,1,"자동차/기타","50만원이하","100만원이하","부채없음","중고차구입",2300000,2,"없음",12,"없음",4,"우량"
"A0130",29,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"실자산","마이너스","100만원이하","부채없음","신차구입",4400000,2,"없음",12,"공동대출자있음",3,"불량"
"A0131",24,"전문직/사무직","4년~7년","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","50만원이하","저축계좌없음","현재부채상환지연","신차구입",10600000,1,"없음",48,"없음",1,"우량"
"A0132",29,"전문직/사무직","1년~4년","싱글남",1,"예","자가",3,1,"사회보장/생명보험","마이너스","100만원이하","당은행부채상환완료","학자금",8600000,1,"점포",36,"없음",4,"불량"
"A0133",27,"비숙련거주자","1년미만","싱글남",1,"예","자가",3,0,"사회보장/생명보험","계좌없음","100만원이하","현재부채상환지연","가구장비구입",3400000,2,"은행",15,"없음",2,"우량"
"A0134",47,"전문직/사무직","1년~4년","싱글남",1,"예","영구임대",4,0,"모름/없음","계좌없음","100만원이하","현재부채상환지연","가구장비구입",2500000,2,"은행",18,"없음",4,"우량"
"A0135",21,"전문직/사무직","4년~7년","이혼/별거/기혼녀",1,"예","자가",4,1,"실자산","계좌없음","100~500만원","현재부채상환지연","오디오/TV구입",12700000,1,"없음",60,"없음",2,"우량"
"A0136",38,"전문직/사무직","7년이상","이혼/별거/기혼녀",1,"예","자가",2,1,"실자산","계좌없음","저축계좌없음","부채없음","오디오/TV구입",1600000,2,"없음",12,"없음",4,"우량"
